Provincia;Municipio;Localidad;Codigo_postal;Direccion;Margen;Longitud;Latitud;Precio_gasolina_95;Precio_gasoleo_A;Precio_gasoleo_B;Precio_bioetanol;Precio_nuevo_gasoleo_A;Precio_biodiesel;Porc_ester_metilico;Porc_bioalcohol;Precio_gasolina_98;Precio_gas_natural_comprimido;Precio_gas_natural_licuado;Precio_gases_licuados_del_petroleo;Rotulo;Tipo_venta;Rem.;Horario
MÁLAGA;BURGO (EL);BURGO (EL);29420;CR C-344 KM  25,1;N;-4,948806;36,788778;1,198;1,099;;;1,190;;;;;;;;BP EL BURGO;P;dm;L-D: 06:00-22:00
MÁLAGA;CAMPILLOS;CAMPILLOS;29320;CARRETERA JEREZ-CARTAGENA KM. 62;D;-4,868583;37,052194;1,079;0,979;;;;;;;;;;;SMART OIL;P;dm;L-D: 24H
MÁLAGA;CAMPILLOS;CAMPILLOS;29320;CARRETERA JEREZ CARTAGENA KM. 136;N;-4,859778;37,052083;1,139;1,039;;;1,129;;;;1,281;;;;BP SAN RAFAEL;P;dm;L-D: 06:00-23:00
MÁLAGA;CÁRTAMA;CARTAMA;29570;SECTOR UR.21 PARCELA 9, 9;N;-4,621028;36,718944;1,069;0,969;;;;;;;;;;;BALLENOIL;P;dm;L-D: 24H
MÁLAGA;CÁRTAMA;CARTAMA;29570;CARRETERA CARTAMA PUEBLO A ESTACION KM. 2,7;D;-4,615000;36,722472;1,099;0,999;;;1,099;;;;1,299;;;;E.S EL VALLE (AGLA);P;dm;L-D: 06:00-23:00
MÁLAGA;CÁRTAMA;CARTAMA;29570;CR A-357 CAMPILLOS-MALAGA, KM 47;I;-4,689333;36,719556;1,159;1,049;;;1,139;;;;1,319;;;;BP RIO GRANDE;P;dm;L-D: 24H
MÁLAGA;CÁRTAMA;CARTAMA;29570;AUTOVIA A-357 KM. 57;D;-4,589944;36,717139;1,119;1,049;;;1,119;;;;1,249;;;;REPSOL;P;OM;L-D: 06:00-22:00
MÁLAGA;CÁRTAMA;CARTAMA;29570;AUTOVIA A-357 KM. 57;I;-4,592056;36,720194;1,149;1,044;;;1,134;;;;1,291;;;;BP ES CARTAMA;P;dm;L-D: 24H
MÁLAGA;CÁRTAMA;CARTAMA;29570;AVENIDA ANDALUCIA, 55;I;-4,606500;36,736556;1,149;1,049;0,799;;1,119;;;;1,289;;;;CEPSA;P;dm;L-D: 24H
MÁLAGA;CÁRTAMA;CARTAMA;29570;AUTOVIA CAMPILLOS-MALAGA KM. 50,05;I;-4,666333;36,718556;1,149;1,049;0,799;;1,119;;;;1,289;;;;CEPSA;P;dm;L-D: 24H
MÁLAGA;CÁRTAMA;CARTAMA;29570;CARRETERA CARTAMA-COIN KM. 3,8;I;-4,634361;36,711306;1,149;1,049;0,799;;1,119;;;;1,289;;;;CEPSA;P;dm;L-D: 24H
MÁLAGA;CASABERMEJA;CASABERMEJA;29160;AVENIDA DE LA HUERTA, 14;D;-4,426333;36,898222;1,069;0,979;;;;;;;;;;;PETROSUR JQ43;P;dm;L-D: 24H
MÁLAGA;CASABERMEJA;CASABERMEJA;29160;A-45 km 147,8;I;-4,429333;36,897833;1,123;1,055;;;1,115;;;;;;;;CEPSA;P;OM;L-D: 06:00-22:00
MÁLAGA;CASARES;CASARES;29690;CARRETERA A-2102 KM. 10,100;I;-5,314944;36,334222;1,049;0,949;;;1,229;;;;;;;;REPSOL;P;dm;L-D: 07:00-23:00
MÁLAGA;CASARES;CASARES;29690;CTRA N 340 KM 146.7 ESQUINA MA 546;D;-5,217611;36,381083;1,139;1,019;;;;;;;1,279;;;;E.S BAHIA DE CASARES;P;dm;L-D: 07:00-23:00
MÁLAGA;COÍN;COIN;29100;AVENIDA REINA SOFIA, S/N;N;-4,750972;36,662944;1,149;1,044;;;1,124;;;;1,289;;;;SHELL;P;OM;L-D: 06:00-00:00
MÁLAGA;COÍN;COIN;29100;AVENIDA REINA SOFIA, S/N;D;-4,746917;36,664278;1,089;0,999;;;;;;;;;;;BALLENOIL;P;dm;L-D: 24H
